DATE,url,HN,HNE,HE,HSE,HS,HSW,HW,HNW,MN,MNE,ME,MSE,MS,MSW,MW,MNW,LN,LNE,LE,LSE,LS,LSW,LW,LNW,high,mid,low,problem_1_type,likelihood_1,size_1,HN1,HNE1,HE1,HSE1,HS1,HSW1,HW1,HNW1,MN1,MNE1,ME1,MSE1,MS1,MSW1,MW1,MNW1,LN1,LNE1,LE1,LSE1,LS1,LSW1,LW1,LNW1,high1,mid1,low1,problem_2_type,likelihood_2,size_2,HN2,HNE2,HE2,HSE2,HS2,HSW2,HW2,HNW2,MN2,MNE2,ME2,MSE2,MS2,MSW2,MW2,MNW2,LN2,LNE2,LE2,LSE2,LS2,LSW2,LW2,LNW2,high2,mid2,low2,problem_3_type,likelihood_3,size_3,HN3,HNE3,HE3,HSE3,HS3,HSW3,HW3,HNW3,MN3,MNE3,ME3,MSE3,MS3,MSW3,MW3,MNW3,LN3,LNE3,LE3,LSE3,LS3,LSW3,LW3,LNW3,high3,mid3,low3,ALTA_Station,ALTA_Latitude,ALTA_Longitude,ALTA_Elevation,ALTA_Name,ALTA_Precip_(tenths_mm),ALTA_Snowfall_(mm),ALTA_Snow_Depth_(mm),ALTA_Max_Temp_(tenths_C),ALTA_Min_Temp_(tenths_C),ALTA_Multiday_Prec_Days,ALTA_Multiday_Snowfall_Days,ALTA_Multiday_Prec_Days_(tenths_mm),ALTA_Multiday_Snowfall,ALTA_Temp_at_Observation_(tenths_C),ALTA_Fog_Ice_Fog,ALTA_Heavy_Fog_Freezing_Fog,ALTA_Ice_Pellets_Sleet,ALTA_Hail,ALTA_Glaze_Rime,ALTA_Weather_Type_07,ALTA_Smoke_Haze,ALTA_Blowing_Drifting_Snow,ALTA_High_Winds,ALTA_Snow_Pellets_Ice_Crystals,BRIGHTON_Station,BRIGHTON_Latitude,BRIGHTON_Longitude,BRIGHTON_Elevation,BRIGHTON_Name,BRIGHTON_Precip_(tenths_mm),BRIGHTON_Snow_Depth_(mm),BRIGHTON_Max_Temp_(tenths_C),BRIGHTON_Min_Temp_(tenths_C),BRIGHTON_Avg_Daily_Temp_(tenths_C),BRIGHTON_Temp_at_Observation_(tenths_C),BRIGHTON_Snow_on_Ground_(tenths_mm),THAYNES_Station,THAYNES_Latitude,THAYNES_Longitude,THAYNES_Elevation,THAYNES_Name,THAYNES_Precip_(tenths_mm),THAYNES_Snow_Depth_(mm),THAYNES_Max_Temp_(tenths_C),THAYNES_Min_Temp_(tenths_C),THAYNES_Avg_Daily_Temp_(tenths_C),THAYNES_Temp_at_Observation_(tenths_C),THAYNES_Snow_on_Ground_(tenths_mm),PARLEY_SUMMIT_Station,PARLEY_SUMMIT_Latitude,PARLEY_SUMMIT_Longitude,PARLEY_SUMMIT_Elevation,PARLEY_SUMMIT_Name,PARLEY_SUMMIT_Precip_(tenths_mm),PARLEY_SUMMIT_Snow_Depth_(mm),PARLEY_SUMMIT_Max_Temp_(tenths_C),PARLEY_SUMMIT_Min_Temp_(tenths_C),PARLEY_SUMMIT_Avg_Daily_Temp_(tenths_C),PARLEY_SUMMIT_Temp_at_Observation_(tenths_C),PARLEY_SUMMIT_Snow_on_Ground_(tenths_mm)
2013-12-13,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20131213.html,orange,orange,orange,yellow,yellow,yellow,orange,orange,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,2.625,1.625,1.0,Persistent Slab,2.0,3.0,orange,orange,orange,green,green,green,orange,orange,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Wind Slab,2.0,2.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",0.0,0.0,508.0,-44.0,-106.0,,,,,-83.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",25.0,533.0,-24.0,-87.0,-63.0,-79.0,1194.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",51.0,584.0,-11.0,-84.0,-54.0,-72.0,1245.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,432.0,-21.0,-71.0,-47.0,-64.0,914.0
2013-12-14,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20131214.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,2.0,1.625,1.0,Persistent Slab,2.0,2.0,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Wind Slab,1.0,1.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",0.0,0.0,508.0,-39.0,-139.0,,,,,-83.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,508.0,-21.0,-110.0,-73.0,-50.0,1194.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,559.0,-7.0,-96.0,-50.0,-11.0,1245.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,406.0,-26.0,-75.0,-53.0,-42.0,914.0
2013-12-15,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20131215.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,2.0,2.0,1.0,Persistent Slab,2.0,2.0,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Wind Slab,3.0,2.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",0.0,0.0,483.0,33.0,-89.0,,,,,-11.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,508.0,45.0,-61.0,-20.0,-25.0,1194.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,559.0,41.0,-11.0,10.0,12.0,1245.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,406.0,49.0,-43.0,-2.0,0.0,914.0
2013-12-16,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20131216.html,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,2.0,2.0,1.0,Persistent Slab,2.0,2.0,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Wind Slab,2.0,2.0,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Wet Avalanches,2.0,2.0,green,green,green,yellow,yellow,yellow,green,green,green,green,green,yellow,yellow,yellow,green,green,green,green,green,green,green,green,green,green,0.0,0.0,0.0,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",0.0,0.0,483.0,33.0,-33.0,,,,,-28.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,508.0,47.0,-48.0,-14.0,-35.0,1194.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,559.0,36.0,-9.0,10.0,0.0,1245.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,406.0,59.0,-11.0,18.0,9.0,914.0
2013-12-17,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20131217.html,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,1.625,1.625,1.0,Persistent Slab,2.0,2.0,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Loose Snow,2.0,1.0,yellow,yellow,yellow,gray,gray,gray,yellow,yellow,yellow,yellow,yellow,gray,gray,gray,yellow,yellow,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",0.0,0.0,483.0,67.0,-50.0,,,,,0.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,483.0,84.0,-45.0,3.0,5.0,1194.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,559.0,72.0,-1.0,34.0,48.0,1245.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,406.0,87.0,3.0,38.0,34.0,914.0
2013-12-18,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20131218.html,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,1.625,1.625,1.0,Persistent Slab,2.0,2.0,yellow,yellow,yellow,green,green,green,yellow,yellow,yellow,yellow,yellow,green,green,green,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Loose Snow,2.0,1.0,yellow,yellow,yellow,gray,gray,gray,yellow,yellow,yellow,yellow,yellow,gray,gray,gray,yellow,yellow,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",51.0,508.0,82.0,-11.0,31.0,5.0,1245.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",25.0,584.0,64.0,-9.0,30.0,-9.0,1270.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,406.0,89.0,4.0,40.0,12.0,914.0
2013-12-19,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20131219.html,orange,orange,orange,yellow,yellow,yellow,orange,orange,orange,orange,orange,yellow,yellow,yellow,orange,orange,orange,orange,orange,yellow,yellow,yellow,orange,orange,2.625,2.625,2.625,Wind Slab,3.0,2.0,orange,orange,orange,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,gray,gray,gray,gray,yellow,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,Storm Snow,3.0,2.0,orange,orange,orange,yellow,yellow,yellow,orange,orange,orange,orange,orange,yellow,yellow,yellow,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,0.0,0.0,0.0,Wet Avalanches,3.0,2.0,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,orange,orange,orange,gray,gray,gray,orange,orange,0.0,0.0,0.0,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",284.0,254.0,737.0,17.0,-78.0,,,,,-72.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",102.0,686.0,7.0,-74.0,-29.0,-72.0,1372.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",127.0,737.0,-4.0,-73.0,-32.0,-73.0,1422.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",102.0,508.0,17.0,-63.0,-24.0,-63.0,1041.0
2013-12-20,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20131220.html,orange,orange,orange,yellow,yellow,yellow,orange,orange,orange,orange,orange,yellow,yellow,yellow,orange,orange,yellow,yellow,yellow,green,green,green,yellow,yellow,2.625,2.625,1.625,Storm Snow,3.0,2.0,orange,orange,orange,yellow,yellow,yellow,yellow,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,green,green,green,green,green,green,green,green,0.0,0.0,0.0,Persistent Slab,3.0,3.0,orange,orange,orange,yellow,gray,gray,orange,orange,orange,orange,orange,gray,gray,gray,orange,orange,yellow,yellow,yellow,gray,gray,gray,yellow,yellow,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",25.0,38.0,762.0,-67.0,-122.0,,,,,-117.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",0.0,660.0,-63.0,-128.0,-93.0,-104.0,1372.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",0.0,737.0,-61.0,-123.0,-96.0,-94.0,1422.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",25.0,508.0,-43.0,-99.0,-79.0,-89.0,1041.0
2013-12-21,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20131221.html,red,red,red,orange,yellow,yellow,orange,red,orange,orange,orange,yellow,yellow,yellow,orange,orange,yellow,yellow,yellow,green,green,green,yellow,yellow,3.25,2.625,1.625,Persistent Slab,4.0,3.0,red,red,red,orange,yellow,yellow,orange,red,orange,orange,orange,yellow,yellow,yellow,orange,orange,yellow,yellow,yellow,green,green,green,yellow,yellow,0.0,0.0,0.0,Wind Slab,4.0,2.0,yellow,orange,orange,orange,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,gray,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",140.0,102.0,838.0,-72.0,-139.0,,,,,-83.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",25.0,660.0,-55.0,-118.0,-78.0,-86.0,1397.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",25.0,711.0,-49.0,-106.0,-77.0,-92.0,1448.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",0.0,508.0,-40.0,-89.0,-60.0,-63.0,1067.0
2013-12-22,https://utahavalanchecenter.org/sites/default/files/archive/advisory/print/advisory/salt-lake/20131222.html,orange,orange,orange,orange,yellow,yellow,orange,orange,orange,orange,orange,yellow,yellow,yellow,orange,orange,yellow,yellow,yellow,green,green,green,yellow,yellow,2.75,2.625,1.625,Persistent Slab,3.0,3.0,orange,orange,orange,orange,yellow,yellow,orange,orange,orange,orange,orange,yellow,yellow,yellow,orange,orange,yellow,yellow,yellow,green,green,green,yellow,yellow,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USC00420072,40.59058,-111.63703,2654.8,"ALTA, UT US",208.0,152.0,965.0,-67.0,-128.0,,,,,-67.0,,,,,,,,,,,USS0011J57S,40.6,-111.58,2667.0,"BRIGHTON, UT US",25.0,660.0,-38.0,-87.0,-55.0,-42.0,1473.0,USS0011J56S,40.62,-111.53,2813.3,"THAYNES CANYON, UT US",102.0,762.0,-38.0,-95.0,-65.0,-53.0,1549.0,USS0011J52S,40.76,-111.63,2286.0,"PARLEY S SUMMIT, UT US",102.0,559.0,-25.0,-63.0,-42.0,-25.0,1168.0
