"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00427924","1981-07-01","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-02","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   15",",,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-07-03","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-04","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-05","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-06","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0","T,,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-07","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-08","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-09","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-10","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    8",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-11","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-12","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-13","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0","T,,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-14","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-15","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-16","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-17","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0","T,,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-07-18","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0","T,,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-07-19","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-20","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-21","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-22","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-23","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-24","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    3",",,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-07-25","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0","T,,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-07-26","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-27","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0","T,,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-28","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-29","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-30","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-07-31","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-01","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-02","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-03","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-04","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-05","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-06","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-07","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-08","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-09","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0","T,,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-08-10","41.21667","-111.85","1958.0","SNOW BASIN, UT US","   15",",,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-08-11","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-12","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427924","1981-08-13","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0","T,,0,1800","    0",",,0","    0",",,0",,,,,,,"    1",",,0",,,,,,
"USC00427924","1981-08-14","41.21667","-111.85","1958.0","SNOW BASIN, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
