"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00427927","1977-06-01","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427927","1977-06-02","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  222",",,0",,,,,,,"  211",",,0,1800",,,,
"USC00427927","1977-06-03","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  278",",,0",,,,,,,"  222",",,0,1800",,,,
"USC00427927","1977-06-04","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  256",",,0",,,,,,,"  228",",,0,1800",,,,
"USC00427927","1977-06-05","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  272",",,0",,,,,,,"  189",",,0,1800",,,,
"USC00427927","1977-06-06","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    5",",,0,1800","    0",",,0","    0",",,0","  267",",,0",,,,,,,"  222",",,0,1800",,,"    1",",,0"
"USC00427927","1977-06-07","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  278",",,0",,,,,,,"  217",",,0,1800",,,,
"USC00427927","1977-06-08","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  222",",,0",,,,,,,"  172",",,0,1800",,,,
"USC00427927","1977-06-09","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  211",",,0",,,,,,,"  183",",,0,1800",,,,
"USC00427927","1977-06-10","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  256",",,0",,,,,,,"  194",",,0,1800",,,,
"USC00427927","1977-06-11","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  272",",,0",,,,,,,"  211",",,0,1800",,,,
"USC00427927","1977-06-12","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  244",",,0",,,,,,,"  222",",,0,1800",,,,
"USC00427927","1977-06-13","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427927","1977-06-14","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427927","1977-06-15","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427927","1977-06-16","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  256",",,0",,,,,,,"  217",",,0,1800",,,,
"USC00427927","1977-06-17","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  278",",,0",,,,,,,"  239",",,0,1800",,,,
"USC00427927","1977-06-18","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  267",",,0",,,,,,,"  256",",,0,1800",,,,
"USC00427927","1977-06-19","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  256",",,0",,,,,,,"  161",",,0,1800",,,,
"USC00427927","1977-06-20","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  239",",,0",,,,,,,"  167",",,0,1800",,,,
"USC00427927","1977-06-21","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  306",",,0",,,,,,,"  167",",,0,1800",,,,
"USC00427927","1977-06-22","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  222",",,0",,,,,,,"  200",",,0,1800",,,,
"USC00427927","1977-06-23","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  200",",,0",,,,,,,"  167",",,0,1800",,,,
"USC00427927","1977-06-24","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  211",",,0",,,,,,,"  172",",,0,1800",,,,
"USC00427927","1977-06-25","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  256",",,0",,,,,,,"  228",",,0,1800",,,,
"USC00427927","1977-06-26","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  283",",,0",,,,,,,"  233",",,0,1800",,,,
"USC00427927","1977-06-27","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  311",",,0",,,,,,,"  244",",,0,1800",,,,
"USC00427927","1977-06-28","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  244",",,0",,,,,,,"  244",",,0,1800",,,,
"USC00427927","1977-06-29","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  244",",,0",,,,,,,"  233",",,0,1800",,,,
"USC00427927","1977-06-30","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  233",",,0",,,,,,,"  211",",,0,1800",,,,
"USC00427927","1977-07-01","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0","  278",",,0",,,,,,,"  111",",,0,1800",,,,
"USC00427927","1977-07-02","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0","  200",",,0","   89",",,0",,,,,"  122",",,0,1800",,,,
"USC00427927","1977-07-03","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0","  222",",,0","  111",",,0",,,,,"  178",",,0,1800",,,,
"USC00427927","1977-07-04","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427927","1977-07-05","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0",,,"   33",",,0",,,,,"  206",",,0,1800",,,,
"USC00427927","1977-07-06","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,"   33",",,0",,,,,"  206",",,0,1800",,,,
"USC00427927","1977-07-07","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  306",",,0","  122",",,0",,,,,"  222",",,0,1800",,,,
"USC00427927","1977-07-08","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  278",",,0","   56",",,0",,,,,"  200",",,0,1800",,,,
"USC00427927","1977-07-09","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  294",",,0","   83",",,0",,,,,"  211",",,0,1800",,,,
"USC00427927","1977-07-10","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  267",",,0","   72",",,0",,,,,"  206",",,0,1800",,,,
"USC00427927","1977-07-11","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  256",",,0","   89",",,0",,,,,"  222",",,0,1800",,,,
"USC00427927","1977-07-12","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  244",",,0","  106",",,0",,,,,"  239",",,0,1800",,,,
"USC00427927","1977-07-13","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  256",",,0","  122",",,0",,,,,"  233",",,0,1800",,,,
"USC00427927","1977-07-14","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  256",",,0","  106",",,0",,,,,"  250",",,0,1800",,,,
"USC00427927","1977-07-15","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  278",",,0","   28",",,0",,,,,"  256",",,0,1800",,,,
"USC00427927","1977-07-16","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427927","1977-07-17","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427927","1977-07-18","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0","  322",",,0","   67",",,0",,,,,"  261",",,0,1800",,,,
"USC00427927","1977-07-19","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0","  283",",,0","  117",",,0",,,,,"  167",",,0,1800",,,,
"USC00427927","1977-07-20","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0","  239",",,0","  111",",,0",,,,,"  206",",,0,1800",,,,
"USC00427927","1977-07-21","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0","  239",",,0","  122",",,0",,,,,"  233",",,0,1800",,,,
"USC00427927","1977-07-22","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","   20",",,0,1800","    0",",,0","    0",",,0","  233",",,0",,,,,,,"  183",",,0,1800",,,,
"USC00427927","1977-07-23","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0","  211",",,0",,,,,,,"  172",",,0,1800",,,,
"USC00427927","1977-07-24","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427927","1977-07-25","40.58333","-111.66667","2471.0","SNOWBIRD, UT US",,,"    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427927","1977-07-26","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0","  256",",,0",,,,,,,"  228",",,0,1800",,,,
"USC00427927","1977-07-27","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,"   50",",,0",,,,,"  222",",,0,1800",,,,
"USC00427927","1977-07-28","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
"USC00427927","1977-07-29","40.58333","-111.66667","2471.0","SNOWBIRD, UT US","    0",",,0,1800","    0",",,0","    0",",,0",,,,,,,,,,,,,,
