"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00428465","1996-04-01","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0",,,"  106",",,0","   39",",,0",,,,,,,,,"   78",",,0,0800",,,,,,
"USC00428465","1996-04-02","40.3913","-111.5766","2017.8","SUNDANCE, UT US","  130",",,0,0800","   25",",,0","    0","P,,0,","  128",",,0","    0",",,0",,,,,,,,,"    6",",,0,0800","    1",",,0",,,,
"USC00428465","1996-04-03","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   56",",,0,0800",,,"    0","P,,0,","   39",",,0","  -17",",,0",,,,,,,,,"  -17",",,0,0800",,,,,,
"USC00428465","1996-04-04","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800",,,"    0","P,,0,","   67",",,0","  -17",",,0",,,,,,,,,"   39",",,0,0800",,,,,,
"USC00428465","1996-04-05","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","   67",",,0","  -33",",,0",,,,,,,,,"  -22",",,0,0800",,,,,,
"USC00428465","1996-04-06","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","   94",",,0","  -22",",,0",,,,,,,,,"   33",",,0,0800",,,,,,
"USC00428465","1996-04-07","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  111",",,0","   28",",,0",,,,,,,,,"   39",",,0,0800",,,,,,
"USC00428465","1996-04-08","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  133",",,0","   39",",,0",,,,,,,,,"   61",",,0,0800",,,,,,
"USC00428465","1996-04-09","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  150",",,0","   56",",,0",,,,,,,,,"   67",",,0,0800",,,,,,
"USC00428465","1996-04-10","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  172",",,0","   67",",,0",,,,,,,,,"  100",",,0,0800",,,,,,
"USC00428465","1996-04-11","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00428465","1996-04-12","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  144",",,0","    6",",,0",,,,,,,,,"   11",",,0,0800",,,,,,
"USC00428465","1996-04-13","40.3913","-111.5766","2017.8","SUNDANCE, UT US","  117",",,0,0800","   13",",,0","    0","P,,0,","   61",",,0","  -56",",,0",,,,,,,,,"  -17",",,0,0800",,,,,,
"USC00428465","1996-04-14","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   10",",,0,0800","    3",",,0","    0","P,,0,","   28",",,0","  -50",",,0",,,,,,,,,"  -33",",,0,0800",,,,,,
"USC00428465","1996-04-15","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","   89",",,0","  -44",",,0",,,,,,,,,"   11",",,0,0800",,,,,,
"USC00428465","1996-04-16","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  117",",,0","   17",",,0",,,,,,,,,"   56",",,0,0800",,,,,,
"USC00428465","1996-04-17","40.3913","-111.5766","2017.8","SUNDANCE, UT US","  343",",,0,0800","  117",",,0","    0","P,,0,","  106",",,0","    0",",,0",,,,,,,,,"    0",",,0,0800",,,,,,
"USC00428465","1996-04-18","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   74",",,0,0800","   23",",,0","    0","P,,0,","   22",",,0","  -11",",,0",,,,,,,,,"   22",",,0,0800",,,,,,
"USC00428465","1996-04-19","40.3913","-111.5766","2017.8","SUNDANCE, UT US","  180",",,0,0800","  114",",,0",,,"   28",",,0","  -44",",,0",,,,,,,,,"  -22",",,0,0800",,,,,,
"USC00428465","1996-04-20","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   18",",,0,0800","   23",",,0",,,"   33",",,0","  -28",",,0",,,,,,,,,"  -11",",,0,0800",,,,,,
"USC00428465","1996-04-21","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0",,,"   28",",,0","  -50",",,0",,,,,,,,,"  -50",",,0,0800",,,,,,
"USC00428465","1996-04-22","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0",,,"   50",",,0","  -61",",,0",,,,,,,,,"   44",",,0,0800",,,,,,
"USC00428465","1996-04-23","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0",,,"   94",",,0","   33",",,0",,,,,,,,,"   89",",,0,0800",,,,,,
"USC00428465","1996-04-24","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0",,,"  139",",,0","   83",",,0",,,,,,,,,"  133",",,0,0800",,,,,,
"USC00428465","1996-04-25","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0",,,"  306",",S,0","   17",",,0",,,,,,,,,"   17",",,0,0800",,,,,,
"USC00428465","1996-04-26","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00428465","1996-04-27","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  139",",,0","   11",",,0",,,,,,,,,"   50",",,0,0800",,,,,,
"USC00428465","1996-04-28","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  -33",",I,0","  -44",",,0",,,,,,,,,"  -44",",,0,0800",,,,,,
"USC00428465","1996-04-29","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","   56",",,0","  -50",",,0",,,,,,,,,"    6",",,0,0800",,,,,,
"USC00428465","1996-04-30","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  122",",,0","    6",",,0",,,,,,,,,"   89",",,0,0800",,,,,,
"USC00428465","1996-05-01","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  300",",S,0","   61",",,0",,,,,,,,,"   83",",,0,0800",,,,,,
"USC00428465","1996-05-02","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  133",",,0","   72",",,0",,,,,,,,,"   83",",,0,0800",,,,,,
"USC00428465","1996-05-03","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  167",",,0","   39",",,0",,,,,,,,,"   39",",,0,0800",,,,,,
"USC00428465","1996-05-04","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  317",",S,0","   39",",,0",,,,,,,,,"   78",",,0,0800",,,,,,
"USC00428465","1996-05-05","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  128",",,0","   33",",,0",,,,,,,,,"   33",",,0,0800",,,,,,
"USC00428465","1996-05-06","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  189",",,0","   33",",,0",,,,,,,,,"   56",",,0,0800",,,,,,
"USC00428465","1996-05-07","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  178",",,0","   56",",,0",,,,,,,,,"  111",",,0,0800",,,,,,
"USC00428465","1996-05-08","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","T,,0,0800","    0","P,,0","    0","P,,0,","  161",",,0","   67",",,0",,,,,,,,,"   89",",,0,0800",,,,,,
"USC00428465","1996-05-09","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   79",",,0,0800","    0","P,,0","    0","P,,0,","  172",",,0","    6",",,0",,,,,,,,,"   33",",,0,0800",,,,,,
"USC00428465","1996-05-10","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   33",",,0,0800","    0","P,,0","    0","P,,0,","  100",",,0","   33",",,0",,,,,,,,,"   50",",,0,0800",,,,,,
"USC00428465","1996-05-11","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  178",",,0","   44",",,0",,,,,,,,,"   83",",,0,0800",,,,,,
"USC00428465","1996-05-12","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  206",",,0","   83",",,0",,,,,,,,,"  100",",,0,0800",,,,,,
"USC00428465","1996-05-13","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  272",",,0","  100",",,0",,,,,,,,,"  128",",,0,0800",,,,,,
"USC00428465","1996-05-14","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  228",",,0","  122",",,0",,,,,,,,,"  144",",,0,0800",,,,,,
"USC00428465","1996-05-15","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  239",",,0","  144",",,0",,,,,,,,,"  156",",,0,0800",,,,,,
"USC00428465","1996-05-16","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   23",",,0,0800","    0","P,,0","    0","P,,0,","  206",",,0","   50",",,0",,,,,,,,,"   50",",,0,0800",,,,,,
"USC00428465","1996-05-17","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  178",",,0","   50",",,0",,,,,,,,,"  122",",,0,0800",,,,,,
"USC00428465","1996-05-18","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   64",",,0,0800","    0","P,,0","    0","P,,0,","  128",",,0","   17",",,0",,,,,,,,,"   17",",,0,0800",,,,,,
"USC00428465","1996-05-19","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  111",",,0","   17",",,0",,,,,,,,,"   39",",,0,0800",,,,,,
"USC00428465","1996-05-20","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  133",",,0","   22",",,0",,,,,,,,,"   39",",,0,0800",,,,,,
"USC00428465","1996-05-21","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,",,,,,,,,,,,,,,,,,,,,
"USC00428465","1996-05-22","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  178",",,0","   39",",,0",,,,,,,,,"  122",",,0,0800",,,,,,
"USC00428465","1996-05-23","40.3913","-111.5766","2017.8","SUNDANCE, UT US","  130",",,0,0800","    0","P,,0","    0","P,,0,","  156",",,0","   22",",,0",,,,,,,,,"   39",",,0,0800",,,,,,
"USC00428465","1996-05-24","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","   89",",,0","   -6",",,0",,,,,,,,,"   33",",,0,0800",,,,,,
"USC00428465","1996-05-25","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   91",",,0,0800","    0","P,,0","    0","P,,0,","  122",",,0","   33",",,0",,,,,,,,,"   44",",,0,0800",,,,,,
"USC00428465","1996-05-26","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   66",",,0,0800","    0","P,,0","    0","P,,0,","   72",",,0","   28",",,0",,,,,,,,,"   33",",,0,0800",,,,,,
"USC00428465","1996-05-27","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   15",",,0,0800","    0","P,,0","    0","P,,0,","   94",",,0","   28",",,0",,,,,,,,,"   78",",,0,0800",,,,,,
"USC00428465","1996-05-28","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   99",",,0,0800","    0","P,,0","    0","P,,0,","  167",",,0","   33",",,0",,,,,,,,,"   78",",,0,0800",,,,,,
"USC00428465","1996-05-29","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   89",",,0,0800","    0","P,,0","    0","P,,0,","   89",",,0","   44",",,0",,,,,,,,,"   56",",,0,0800",,,,,,
"USC00428465","1996-05-30","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  172",",,0","   44",",,0",,,,,,,,,"   94",",,0,0800",,,,,,
"USC00428465","1996-05-31","40.3913","-111.5766","2017.8","SUNDANCE, UT US","   15",",,0,0800","    0","P,,0","    0","P,,0,","  150",",,0","   28",",,0",,,,,,,,,"   56",",,0,0800",,,,,,
"USC00428465","1996-06-01","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  161",",,0","   44",",,0",,,,,,,,,"   89",",,0,0800",,,,,,
"USC00428465","1996-06-02","40.3913","-111.5766","2017.8","SUNDANCE, UT US","    0","P,,0,0800","    0","P,,0","    0","P,,0,","  189",",,0","   67",",,0",,,,,,,,,"   67",",,0,0800",,,,,,
