,,model,accuracy,mse
RandomForestClassifier,13,RandomForestClassifier(max_depth=13),0.6990291262135923,0.3592233009708738
XGBClassifier,16,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=16, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)",0.6925566343042071,0.3559870550161812
GradientBoostingClassifier,5,GradientBoostingClassifier(max_depth=5),0.6925566343042071,0.36245954692556637
XGBClassifier,2,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=2, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)",0.6893203883495146,0.3592233009708738
RandomForestClassifier,8,RandomForestClassifier(max_depth=8),0.6893203883495146,0.34951456310679613
RandomForestClassifier,11,RandomForestClassifier(max_depth=11),0.686084142394822,0.35275080906148865
XGBClassifier,6,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=6, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)",0.686084142394822,0.36245954692556637
RandomForestClassifier,6,RandomForestClassifier(max_depth=6),0.686084142394822,0.36245954692556637
LogisticRegression,sag,"LogisticRegression(max_iter=10000, solver='sag')",0.6828478964401294,0.3656957928802589
LogisticRegression,newton-cg,"LogisticRegression(max_iter=10000, solver='newton-cg')",0.6828478964401294,0.3656957928802589
RandomForestClassifier,15,RandomForestClassifier(max_depth=15),0.6828478964401294,0.3656957928802589
XGBClassifier,4,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=4, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)",0.6828478964401294,0.37216828478964403
LogisticRegression,lbfgs,LogisticRegression(max_iter=10000),0.6828478964401294,0.3656957928802589
XGBClassifier,17,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=17, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)",0.6828478964401294,0.3559870550161812
RandomForestClassifier,5,RandomForestClassifier(max_depth=5),0.6828478964401294,0.37540453074433655
DecisionTreeRegressor,7,DecisionTreeRegressor(max_depth=7),0.6828478964401294,0.35770733180026565
LogisticRegression,saga,"LogisticRegression(max_iter=10000, solver='saga')",0.6828478964401294,0.3656957928802589
XGBClassifier,14,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=14, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)",0.6828478964401294,0.3559870550161812
XGBClassifier,5,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=5, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)",0.6828478964401294,0.37540453074433655
RandomForestClassifier,3,RandomForestClassifier(max_depth=3),0.6828478964401294,0.4045307443365696
DecisionTreeClassifier,8,DecisionTreeClassifier(max_depth=8),0.6796116504854369,0.4045307443365696
DecisionTreeClassifier,4,DecisionTreeClassifier(max_depth=4),0.6796116504854369,0.36893203883495146
XGBClassifier,10,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=10, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)",0.6796116504854369,0.36893203883495146
RandomForestRegressor,9,RandomForestRegressor(max_depth=9),0.6796116504854369,0.3090274816544283
RandomForestClassifier,9,RandomForestClassifier(max_depth=9),0.6763754045307443,0.35275080906148865
RandomForestClassifier,19,RandomForestClassifier(max_depth=19),0.6763754045307443,0.35275080906148865
RandomForestClassifier,16,RandomForestClassifier(max_depth=16),0.6763754045307443,0.35275080906148865
XGBClassifier,19,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=19, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=None, n_jobs=None,
              num_parallel_tree=None, objective='multi:softprob', ...)",0.6763754045307443,0.36245954692556637
RandomForestClassifier,7,RandomForestClassifier(max_depth=7),0.6763754045307443,0.36245954692556637
RandomForestClassifier,12,RandomForestClassifier(max_depth=12),0.6763754045307443,0.37216828478964403
